"","Site","Date","Why","Sex","Age","Education","Relationship","Think_about","Trying","Tried_before","Time_since_tried","How_long","GMS_now1","GMS_now2","GMS_now3","GMS_now4","GMS_now5","GMS_now6","GMS_now7","GMS_now8","GMS_now9","GMS_now10","GMS_now11","GMS_now12","GMS_now13","GMS_week1","GMS_week2","GMS_week3","GMS_week4","GMS_week5","GMS_week6","GMS_week7","GMS_week8","GMS_week9","GMS_week10","GMS_week11","GMS_week12","GMS_week13","SIMS1","SIMS2","SIMS3","SIMS4","SIMS5","SIMS6","SIMS7","SIMS8","SIMS9","SIMS10","SIMS11","SIMS12","SIMS13","SIMS14","SIMS15","SIMS16","SIMS_Intrinsic","SIMS_IdenReg","SIMS_ExtReg","SIMS_Amotivation","Times_walk","Mins_walk","Times_vigorous","Mins_vigorous","Times_moderate","Mins_moderate","GMSnStr","GMSfStr","GMSnIM","GMSfIM","GMSnAV","GMSfAV"
"58",1,2013-08-05,"Because I enjoy food and dieting is often difficult for me so I try to ensure that I balance what I am eating with enough physical activity. I also really enjoy physical activity and find that it can be very catartic for me. I have quite a high stress job and find that exercise has some really positive benefits for my mood so in order to sustain this and possible increase this I felt that I needed to increase my physical activity.",2,23,4,2,26,25,1,25,25,8,8,8,8,8,6,9,9,6,9,7,7,7,6,10,6,6,6,6,10,10,6,9,10,10,10,7,7,3,1,5,7,7,1,7,7,1,1,7,7,7,1,26,28,18,4,1,10,5,210,0,0,8,7.33333333333333,7.4,6.75,7,10
"59",1,2013-08-05,"Noticed a reduction in fitness after change of workplace reduced ability to exercise as much as previously.",2,52,4,3,9,2,1,2,2,8,10,6,8,10,10,10,10,8,10,9,9,8,7,10,8,7,10,10,10,NA,10,10,9,9,9,5,7,6,1,5,7,7,2,5,7,1,1,6,7,5,1,21,28,19,5,15,300,0,0,0,0,8,8.33333333333333,9.2,9.25,9,9
"60",1,2013-08-05,"Health benefits",2,22,1,2,6,2,1,15,5,5,7,4,6,5,5,5,6,6,8,7,7,4,5,6,3,2,3,4,5,5,5,8,6,7,6,2,6,4,2,4,5,3,4,2,6,1,2,4,5,2,2,12,22,10,10,6,60,1,20,0,0,5.33333333333333,4.66666666666667,6,4.25,7,6.33333333333333
"61",1,2013-08-05,"mood enhancement & balance",2,34,4,3,20,20,1,2,2,6,6,6,6,8,8,8,6,8,9,1,2,6,7,7,6,7,7,7,7,8,8,9,8,8,8,7,7,5,1,7,7,2,2,7,7,1,1,7,6,2,1,28,27,10,5,5,240,4,300,1,20,6,6.66666666666667,7.8,7.5,1.5,8
"62",1,2013-08-05,"Lose weight; too sedentary; ageing",2,50,4,3,52,2,1,78,26,10,10,10,9,9,7,7,9,8,7,4,8,9,7,7,6,7,7,7,7,4,4,2,6,4,4,1,6,3,1,4,6,5,2,3,7,1,1,4,7,5,2,12,26,14,6,6,390,3,165,7,210,10,6.66666666666667,8,5.75,6,4.66666666666667
"63",1,2013-08-05,"Weight gain due to holiday",2,52,2,3,4,1,1,52,26,8,9,8,5,5,8,9,7,7,9,8,8,8,7,8,7,7,7,9,9,9,7,8,8,8,8,4,7,7,1,4,7,6,6,4,7,4,1,6,6,6,1,18,27,23,9,7,120,4,150,3,60,8.33333333333333,7.33333333333333,6.8,7.75,8,8
"64",1,2013-08-05,"Improve general health and wellbeing.",1,29,4,2,4,4,1,156,30,6,9,7,4,4,9,9,6,0,4,3,3,3,5,8,2,7,6,7,5,0,0,5,7,6,5,4,5,1,1,4,5,1,2,4,5,1,1,4,4,4,1,16,19,7,5,14,175,2,25,0,0,7.33333333333333,5,4.2,6.25,3,6
"65",1,2013-08-05,"For weight loss and fitness",2,22,3,1,28,16,1,8,1,8,10,6,5,7,7,8,5,3,5,7,10,8,3,10,3,7,7,5,5,3,3,7,10,10,10,4,6,6,2,2,6,6,5,4,4,4,3,4,6,6,2,14,22,22,12,7,120,3,180,1,60,8,5.33333333333333,5.4,6.5,8.5,10
"66",1,2013-08-05,"To increase my overall fitness level and gain a increase sense of well being.",2,61,4,3,6,3,1,24,8,9,10,9,9,9,8,8,10,8,9,9,9,8,8,8,8,8,9,8,8,8,8,8,7,8,7,6,6,6,1,6,6,1,1,7,7,1,1,7,7,1,1,26,26,9,4,4,100,2,180,1,290,9.33333333333333,8,8.6,8.25,9,7.33333333333333
"67",1,2013-08-05,"Went on holiday and got large",1,25,4,2,4,0,1,16,12,9,8,8,10,10,10,10,8,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,10,10,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.33333333333333,9,10,9,10,10
